segmentId,roiScore,persuasionPct,persuasionHighLeverage,persuasionLowLeverage,persuasionNotConvertible,persuasionNotPersuadable,persuasionNegMovement,coalitionPct,activationPct,influencePct,tier
TSP,0.81,25,14,12,12,8,56,73,23,5,3
CEC,1.01,36,17,19,15,13,35,86,36,3,1
TC,1.11,38,17,22,14,16,31,91,43,3,1
HF,1.22,36,22,14,20,6,38,82,27,23,1
PP,1.02,36,23,13,11,15,38,79,33,5,2
WE,1.1,38,15,23,19,15,28,87,34,3,1
PFF,1.04,34,16,18,20,18,28,84,27,12,2
HHN,1.04,37,23,14,12,9,43,75,25,20,1
MFL,0.81,31,7,24,13,24,33,82,28,5,3
VS,0.84,26,11,15,15,21,38,74,0.81,4,3
UCP,0.89,37,21,16,8,17,37,68,32,5,3
FJP,1.01,42,24,18,5,11,42,75,33,5,1
HCP,0.85,33,17,16,9,19,39,77,22,4,3
HAD,1.1,40,24,16,11,12,37,81,33,10,1
HCI,1.17,45,21,24,12,11,32,87,29,4,1
GHI,0.98,36,12,24,13,17,33,85,35,7,2
