messageId,messageLabel,theme,Total,TSP,CEC,TC,HF,PP,WE,PFF,HHN,MFL,VS,UCP,FJP,HCP,HAD,HCI,GHI,PolicyElites
1,"Predictable Coverage",Coverage,6.9,6.6,7.3,8.1,7.6,6.3,6.9,7.4,6.8,6.9,7.2,6.3,5.7,7.1,7.5,6.8,6.8,7.7
2,"Capping Costs",Financial,9.8,8,11.1,7.6,7.4,9.6,10.5,9.6,7.2,10.2,9.3,11.5,10.3,9.6,8.4,10.2,9.7,8.6
3,"Trust & Accountability",Trust,3,4.5,2.6,3.5,5.5,3.4,3.1,3.7,5,2.7,2.9,1.8,3.1,2.6,3.8,3,2.4,2.5
4,"Coordinated Care",Coverage,10.4,9.2,10,10.1,10,10.1,10.2,7.6,7.9,9.6,9.1,12.3,10.3,11.5,10.3,10.8,11.4,12.6
5,"Freedom To Choose",Freedom,6.8,8.1,7.3,8.5,6.1,7.7,6.1,6.5,6.9,6.4,7.3,6.7,6.8,6.8,7.7,6.1,5.8,7
6,"Personalized Benefits",Coverage,18.4,15.2,18,18.3,10.2,16.1,18.5,15.7,12.3,22.1,16.9,21.2,19.3,18.1,14.4,22.7,20.1,18.9
7,"Digital Access",Innovation,3.5,4.4,3.6,3.5,5.3,4,4.3,4.1,5.9,3.7,3.5,2.2,3.1,3.2,4.3,2.9,3,2.3
8,"Earned Better Benefits",Social Contract,4.2,4.8,4.1,4.9,5.3,4.2,4.4,5.4,5.3,4,5.5,3,3.9,3.8,4.8,3.5,3.8,3.5
9,"Specialized Needs",Coverage,7.1,7,6.9,5.7,6.4,8,6.4,5.7,7.7,7.1,8.3,7.3,8,7.5,5.9,7,6.9,7.7
10,"Social Contract",Social Contract,6.1,5.8,6.1,6.3,6.7,7.2,5.2,5.7,5.8,5,6.3,6.8,5.7,6.9,7.1,4.8,6,8.2
11,"Rebates Deliver Value",Financial,2.9,3.3,2.5,2.7,5.2,3.2,3.1,4.1,4.7,2.5,3.4,2,3.1,2.5,3.5,2.7,2.2,2.4
12,"Better Outcomes",Innovation,5,5.9,5,5.1,6.3,4.7,5.3,5.9,6.3,4.5,5,4.5,4.9,5,5.1,4.7,4.9,4.8
13,"Preventing Costly Care",Coverage,8.4,8.4,8.5,7.8,7.7,7.6,8.5,7.8,8.3,7.9,7.1,8.5,8.9,8.2,8.6,8.2,9.7,7
14,"Accountability & Outcomes",Trust,3,4,2.5,2.9,4.5,3.6,3.1,4.5,4.6,2.9,3.3,2.1,2.9,2.6,3.7,2.9,2.3,2
15,"Strengthening Medicare",Trust,4.6,4.8,4.4,5.1,5.9,4.3,4.5,6.2,5.3,4.5,4.9,3.8,3.9,4.6,5,3.7,5.1,4.6
